review,rating,date,bank,source
ጥሩ ነው,5,2025-03-25,Dashen Bank,Google Play
the worst app in the market only good ui,1,2025-03-22,Dashen Bank,Google Play
nic,5,2025-03-22,Dashen Bank,Google Play
በጣም ቅልል ያለ አፕ በርቱልን ለአጠቃቀም ምቹ,5,2025-03-22,Dashen Bank,Google Play
thanks for all digital transaction,5,2025-03-21,Dashen Bank,Google Play
Best,5,2025-03-20,Dashen Bank,Google Play
"This app is not supporting smart phones that have old android version and so it is none inclusive. At the same time the amole lite is not working properly and once you reached to maximum otp trail mistakes due to network or other errors like stacks , you will be tied up to make Transactions. Ohh... tired!!!!!",1,2025-03-20,Dashen Bank,Google Play
it's Be Come Busy &not working good,1,2025-03-20,Dashen Bank,Google Play
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19,Dashen Bank,Google Play
"best ever digital banking sector essay for understanding ,smart and convince for using",5,2025-03-19,Dashen Bank,Google Play
good and latest,5,2025-03-18,Dashen Bank,Google Play
The best App of all,5,2025-03-17,Dashen Bank,Google Play
Worst app ever,1,2025-03-15,Dashen Bank,Google Play
"This app is the most unreliable mobile banking application I have ever used for transaction, it is very late, non-responsive and full of bugs. Its is very disappointing. It is just inconvinient, and not user friendly and compatabke at all !!!!!!",1,2025-03-14,Dashen Bank,Google Play
Naiycapp,5,2025-03-14,Dashen Bank,Google Play
The app is good but it has no USSD option,4,2025-03-13,Dashen Bank,Google Play
Hey great,5,2025-03-12,Dashen Bank,Google Play
I have used many mobile banking and also tellebir and mpesa nothing come close to this app. Well done Dashen indeed one step a head. A lot of cool features that amole hasn't the receipt and the account statement is superb for me. I hope you add more integrated small apps to.,5,2025-03-12,Dashen Bank,Google Play
The app is good but it ask update every week so tiring,2,2025-03-11,Dashen Bank,Google Play
It good and easy to use,5,2025-03-11,Dashen Bank,Google Play
በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።,5,2025-03-10,Dashen Bank,Google Play
"Greately improved since it was released! I really like the budget and expense tegistration feature. For ATM or POS withdrawals, it is not possible to account these expenses, even if it is visible on the transactions window. If that can be worked on, it will be improve so much!!",5,2025-03-10,Dashen Bank,Google Play
Excellent,5,2025-03-10,Dashen Bank,Google Play
Wow Excellent app,5,2025-03-08,Dashen Bank,Google Play
Nice app but i experience some issues with others banks transfer it keeps saying account is not exist most of the time.,4,2025-03-08,Dashen Bank,Google Play
Add the option to send money to any telebirr account like amole does.,3,2025-03-08,Dashen Bank,Google Play
It's best,5,2025-03-08,Dashen Bank,Google Play
no one dashen yichlal,5,2025-03-07,Dashen Bank,Google Play
In short ! I'm so proud of this app developers for their highest professional of developing. Thanks,5,2025-03-06,Dashen Bank,Google Play
The speed is too slow. Need some improvements.,2,2025-03-06,Dashen Bank,Google Play
good app,5,2025-03-04,Dashen Bank,Google Play
Fantastic app,5,2025-03-01,Dashen Bank,Google Play
I wish dark mode feature is add as an option but it's good app,5,2025-02-27,Dashen Bank,Google Play
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26,Dashen Bank,Google Play
"The Dashen Super App is a game-changer in digital banking, offering a seamless and convenient experience. With its user-friendly interface, fast transactions, and a wide range of financial services, it simplifies banking for customers. Features like bill payments, fund transfers, mobile top-ups, and loan applications make it an all-in-one solution. Plus, its security measures ensure safe and reliable Experiance effortless banking",5,2025-02-26,Dashen Bank,Google Play
ከጰነጨየጠ,2,2025-02-26,Dashen Bank,Google Play
"It has good feature. But, it is Very Slow! difficult to pay or receive. The Speed should be improved, else I didn't recommend.",2,2025-02-24,Dashen Bank,Google Play
Excellent app,5,2025-02-24,Dashen Bank,Google Play
አፕልኬሽኑ አሪፍ ሆኖ ሳለ ቴሌብር ወደራስ ብቻ ለምን ሆነ እንደ ድሮው ለሰውም መላክ ቢቻል,4,2025-02-22,Dashen Bank,Google Play
No good,1,2025-02-22,Dashen Bank,Google Play
Wow amazing app,5,2025-02-21,Dashen Bank,Google Play
best platform... Please avoid otp,5,2025-02-21,Dashen Bank,Google Play
Super smart app.,5,2025-02-18,Dashen Bank,Google Play
best 👍👍,5,2025-02-16,Dashen Bank,Google Play
I don't know what happens but the application is not send verification pass code you should fix that,1,2025-02-16,Dashen Bank,Google Play
This app doesn't work on my phone my phone is Samsung Galaxy s7 android version 9 All other financial apps work like telebirr CBE M_pesa...,1,2025-02-14,Dashen Bank,Google Play
"Dashen Super app is secure, very easy to use and has more services uniquely like budgeting, chat, IPS...",5,2025-02-14,Dashen Bank,Google Play
Amazing and user friendly supper app and looking forward the additional features,5,2025-02-14,Dashen Bank,Google Play
it's amazing app i have seen ever,5,2025-02-13,Dashen Bank,Google Play
One star deducted for not to able to transfer to telebirr.,4,2025-02-13,Dashen Bank,Google Play
ጥሩ ነው ግን በደንብ ሊሸሻል ይገባል,4,2025-02-13,Dashen Bank,Google Play
ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::,4,2025-02-12,Dashen Bank,Google Play
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12,Dashen Bank,Google Play
The app missed some important features 1. It does't show recent transactions 2. Transfer to Telebirr limited to own telebirr 3. The statement does't show running balance,2,2025-02-11,Dashen Bank,Google Play
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10,Dashen Bank,Google Play
"የሚገርም aplication ነው, ነገር ግን ብር ትራንስፈር ሲደረግ ያለ ፒን መሆኑ risk አለው ሁሉ ጊዜ የ ትራንስፈር መደምደሚያ ፒን መሆን አለበት!!!!!!!!!!!!:: አሱ ቢስተካከል 5 star አስከዛው ግን 4 ሰጥቻለው::",4,2025-02-09,Dashen Bank,Google Play
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07,Dashen Bank,Google Play
It doesn't work,1,2025-02-07,Dashen Bank,Google Play
"#Dashen Super App; Super easy to use, secure, and fast transaction. Love it!",5,2025-02-07,Dashen Bank,Google Play
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06,Dashen Bank,Google Play
Gud app kegza ga mezmn endze new aind ermjh kedme nachu hlam,5,2025-02-06,Dashen Bank,Google Play
"Good app, bad security",3,2025-02-06,Dashen Bank,Google Play
On Transaction page only show sent Transaction. Try to include received transaction.,4,2025-02-06,Dashen Bank,Google Play
Wonderful Application 😍,5,2025-02-05,Dashen Bank,Google Play
I loved it,5,2025-02-05,Dashen Bank,Google Play
አሁን ገና አንድ እርምጃ ቀደማችው,5,2025-02-04,Dashen Bank,Google Play
I am so thankful for having this best app Dashen one step ahead,5,2025-02-04,Dashen Bank,Google Play
Not good this app,1,2025-02-04,Dashen Bank,Google Play
Best app,5,2025-02-04,Dashen Bank,Google Play
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen Bank,Google Play
Perfect,5,2025-02-02,Dashen Bank,Google Play
"It does not work functional ,",1,2025-02-02,Dashen Bank,Google Play
Ok,5,2025-02-02,Dashen Bank,Google Play
all of dashen bank customers use the application it is good to use,5,2025-02-01,Dashen Bank,Google Play
Gret experience,5,2025-02-01,Dashen Bank,Google Play
All good we need more,3,2025-01-31,Dashen Bank,Google Play
"Dashen super app is easy to use, fast and robust",5,2025-01-31,Dashen Bank,Google Play
it was amazing app.....thank you dashen bank....,5,2025-01-30,Dashen Bank,Google Play
Dashen bank super app for easy life.,5,2025-01-30,Dashen Bank,Google Play
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30,Dashen Bank,Google Play
Send to oher bank የሚለዉ ዉስጥ ገብተን ወደ addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ ወደ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር ነዉ መጠየቅ ያለበት ይመስለኛል,2,2025-01-29,Dashen Bank,Google Play
Just Wow,5,2025-01-29,Dashen Bank,Google Play
mobile banking to the next level,5,2025-01-28,Dashen Bank,Google Play
The first 3 star review is me,3,2025-01-25,Dashen Bank,Google Play
Is not working,1,2025-01-25,Dashen Bank,Google Play
"Fast, reliable and user friendly. Amazing chatting features. Keep it up! Always one step ahead!",5,2025-01-24,Dashen Bank,Google Play
V good ❗️,5,2025-01-24,Dashen Bank,Google Play
"This app is literally the best thing ever The chat banking is so easy just text and it’s done Super smooth, fast, and honestly a life saverIf you haven’t downloaded it yet you’re missing out big time",5,2025-01-23,Dashen Bank,Google Play
I only see white page,2,2025-01-23,Dashen Bank,Google Play
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,Dashen Bank,Google Play
Amizing Application 😍,5,2025-01-22,Dashen Bank,Google Play
Fastest and easy to use,5,2025-01-22,Dashen Bank,Google Play
ስም ብቻ 😏,2,2025-01-21,Dashen Bank,Google Play
Exellent app with exellent banking system and exellent bank ever,5,2025-01-21,Dashen Bank,Google Play
Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20,Dashen Bank,Google Play
Needs some improvement,5,2025-01-20,Dashen Bank,Google Play
Amazing,5,2025-01-20,Dashen Bank,Google Play
Amazing super app,5,2025-01-19,Dashen Bank,Google Play
I hope it will be better than amole,5,2025-01-18,Dashen Bank,Google Play
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18,Dashen Bank,Google Play
Dashen yichalal. Ewnetem one step a head,5,2025-01-17,Dashen Bank,Google Play
It has a Good performance but need more upgrade for more performance like when we login account not be fast balance show other thing looking good. Carry on. Thanks so much for Greatest service,4,2025-01-17,Dashen Bank,Google Play
"It is a very wonderful work that has saved its time. That is why it is ""Always one step ahead!""",5,2025-01-17,Dashen Bank,Google Play
“Life-changing!” I can’t imagine going back to traditional banking after using this app. It’s so convenient.,5,2025-01-17,Dashen Bank,Google Play
Pro max,5,2025-01-17,Dashen Bank,Google Play
The most good app and easy,5,2025-01-16,Dashen Bank,Google Play
"Excellent and user friendly App. Excellence is what makes you always one step ahead. Dashen Bank, Always One Step Ahead !!",5,2025-01-16,Dashen Bank,Google Play
Proud to be dashen family . Shout out to the serial entrepreneur 👏,5,2025-01-16,Dashen Bank,Google Play
First ATM in East africa ⭐️⭐️⭐️⭐️⭐️,5,2025-01-16,Dashen Bank,Google Play
Best app.,5,2025-01-16,Dashen Bank,Google Play
Better Move to catch the competition up👍,5,2025-01-16,Dashen Bank,Google Play
"Great job my home, my bank.",5,2025-01-16,Dashen Bank,Google Play
Always one step ahead! What a masterpiece.,5,2025-01-16,Dashen Bank,Google Play
Great App Well done Dashen Bank,5,2025-01-15,Dashen Bank,Google Play
Great!,5,2025-01-15,Dashen Bank,Google Play
"I love it but it has bugs during confirmation of password! So, please make it functional",5,2025-01-15,Dashen Bank,Google Play
Always one step forward,5,2025-01-15,Dashen Bank,Google Play
"It's great! But it will be advanced if you include a caption that allow customers to transfer to Telebirr account. Dashen Bank, ""ኩሉ ግዜ፡ ሓደ ስጕሚ ቀዳሚ።"" (Always one step ahead!)",4,2025-01-15,Dashen Bank,Google Play
Small size with vast features and functionalities.,5,2025-01-15,Dashen Bank,Google Play
Amazing app 👏 👌 Dashen bank one step a head,5,2025-01-15,Dashen Bank,Google Play
"It has a great application features from the beginning. I'm glad to use it even I haven't used it yet because I haven't activated my account yet. But it's simple, comprehensive, full of information, and fast. በርቱ ዳሸኖች: The super app has impressed me more than I expected.",5,2025-01-15,Dashen Bank,Google Play
Dashen Bank Always One Step Ahead!,5,2025-01-15,Dashen Bank,Google Play
U can't create account,1,2025-01-15,Dashen Bank,Google Play
Really super app... so seamless and with a nice user interface .. we are proud of you dashen bank ...,5,2025-01-15,Dashen Bank,Google Play
We will see it,2,2025-01-15,Dashen Bank,Google Play
Always one step a head!,5,2025-01-15,Dashen Bank,Google Play
"A lightweight,catchy and smooth app",5,2025-01-15,Dashen Bank,Google Play
Very impressive interface with best security feature and user friendly app.,5,2025-01-15,Dashen Bank,Google Play
It is so far so good it has a unique features than telebirr good job Dashen,5,2025-01-15,Dashen Bank,Google Play
"Yea , it's a good idea to make it with the bank name, it will help for the bank easily to find the application, and customers can easily downloed and use the product. I wish all the best for Dashen bank initiative.",5,2025-01-15,Dashen Bank,Google Play
This is My Bank!,5,2025-01-15,Dashen Bank,Google Play
"Truly, db => AlwaysOneStepAhead !!",5,2025-01-14,Dashen Bank,Google Play
ALWAYS ONE STEP AHEAD,5,2025-01-14,Dashen Bank,Google Play
Well developed,5,2025-01-14,Dashen Bank,Google Play
oh nice!!! i wish it's very nice app,5,2025-01-14,Dashen Bank,Google Play
Really the app looks like amazing. I can't wait to activate in the morning.,5,2025-01-14,Dashen Bank,Google Play
Applause 👏 Dashen Bank. One of the best super app inorder to pay easily and securely. One step a head.,5,2025-01-14,Dashen Bank,Google Play
Wow Dashen Super App 🚀🚀,5,2025-01-14,Dashen Bank,Google Play
All in One,5,2025-01-14,Dashen Bank,Google Play
The best Banking app I have ever seen,5,2025-01-14,Dashen Bank,Google Play
It looks good and simple to use,5,2025-01-14,Dashen Bank,Google Play
App That makes Difference!,5,2025-01-14,Dashen Bank,Google Play
Faster and userfriendly,5,2025-01-14,Dashen Bank,Google Play
"Waw Great and innovated,user friendly, always one step ahead",5,2025-01-13,Dashen Bank,Google Play
It's Best waww 🙏,5,2025-01-13,Dashen Bank,Google Play
Always one step ahead,5,2025-01-13,Dashen Bank,Google Play
"Like Me, I Hope It Works Better Than Before.",5,2025-01-11,Dashen Bank,Google Play
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play
dedeb,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play
👍,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
good app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play
wow,4,2025-05-24,Commercial Bank of Ethiopia,Google Play
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
ok,1,2025-05-24,Commercial Bank of Ethiopia,Google Play
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
I like,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
update issue,4,2025-05-22,Commercial Bank of Ethiopia,Google Play
its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
oldie,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia,Google Play
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
good 👍,4,2025-05-21,Commercial Bank of Ethiopia,Google Play
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia,Google Play
poor service,1,2025-05-21,Commercial Bank of Ethiopia,Google Play
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play
Eliasmels,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia,Google Play
Best app I loved it,5,2025-05-19,Commercial Bank of Ethiopia,Google Play
nice app,5,2025-05-19,Commercial Bank of Ethiopia,Google Play
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play
woxe harimo ribiso,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play
Good app,5,2025-05-15,Commercial Bank of Ethiopia,Google Play
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia,Google Play
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia,Google Play
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play
verygood,3,2025-05-05,Commercial Bank of Ethiopia,Google Play
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia,Google Play
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play
አዛ,1,2025-05-04,Commercial Bank of Ethiopia,Google Play
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play
